Cal_yrs_BP,RSL
1277,0.275153145
1278,0.276219395
1279,0.277285646
1280,0.278351896
1281,0.279418147
1282,0.280484398
1283,0.281550648
1284,0.282616899
1285,0.283683149
1286,0.2847494
1287,0.285815651
1288,0.286881901
1289,0.287948152
1290,0.289014402
1291,0.290080653
1292,0.291146904
1293,0.292213154
1294,0.293279405
1295,0.294345655
1296,0.295411906
1297,0.296478157
1298,0.297544407
1299,0.298610658
1300,0.299676908
1301,0.300743159
1302,0.30180941
1303,0.30287566
1304,0.303941911
1305,0.305008161
1306,0.306074412
1307,0.307140663
1308,0.308206913
1309,0.309273164
1310,0.310339414
1311,0.311405665
1312,0.312471916
1313,0.313538166
1314,0.314604417
1315,0.315670667
1316,0.316736918
1317,0.317803169
1318,0.318869419
1319,0.31993567
1320,0.32100192
1321,0.322068171
1322,0.323134422
1323,0.324200672
1324,0.325266923
1325,0.326333173
1326,0.327399424
1327,0.328465675
1328,0.329531925
1329,0.330598176
1330,0.331664426
1331,0.332730677
1332,0.333796928
1333,0.334863178
1334,0.335929429
1335,0.336995679
1336,0.33806193
1337,0.339128181
1338,0.340194431
1339,0.341260682
1340,0.342326932
1341,0.343393183
1342,0.344459434
1343,0.345525684
1344,0.346591935
1345,0.347658185
1346,0.348724436
1347,0.349790687
1348,0.350856937
1349,0.351923188
1350,0.352989438
1351,0.354055689
1352,0.35512194
1353,0.35618819
1354,0.357254441
1355,0.358320691
1356,0.359386942
1357,0.360453193
1358,0.361519443
1359,0.362585694
1360,0.363651944
1361,0.364718195
1362,0.365784446
1363,0.366850696
1364,0.367916947
1365,0.368983197
1366,0.370049448
1367,0.371115699
1368,0.372181949
1369,0.3732482
1370,0.37431445
1371,0.375380701
1372,0.376446952
1373,0.377513202
1374,0.378579453
1375,0.379645703
1376,0.380711954
1377,0.381778205
1378,0.382844455
1379,0.383910706
1380,0.384976956
1381,0.386043207
1382,0.387109458
1383,0.388175708
1384,0.389241959
1385,0.390308209
1386,0.39137446
1387,0.392440711
1388,0.393506961
1389,0.394573212
1390,0.395639462
1391,0.396705713
1392,0.397771964
1393,0.398838214
1394,0.399904465
1395,0.400970715
1396,0.402036966
1397,0.403103217
1398,0.404169467
1399,0.405235718
1400,0.406301968
1401,0.407368219
1402,0.40843447
1403,0.40950072
1404,0.410566971
1405,0.411633221
1406,0.412699472
1407,0.413765723
1408,0.414831973
1409,0.415898224
1410,0.416964474
1411,0.418030725
1412,0.419096976
1413,0.420163226
1414,0.421229477
1415,0.422295727
1416,0.423361978
1417,0.424428229
1418,0.425494479
1419,0.42656073
1420,0.42762698
1421,0.428693231
1422,0.429759482
1423,0.430825732
1424,0.431891983
1425,0.432958233
1426,0.434024484
1427,0.435090735
1428,0.436156985
1429,0.437223236
1430,0.438289486
1431,0.439355737
1432,0.440421988
1433,0.441488238
1434,0.442554489
1435,0.443620739
1436,0.44468699
1437,0.445753241
1438,0.446819491
1439,0.447885742
1440,0.448951992
1441,0.450018243
1442,0.451084494
1443,0.452150744
1444,0.453216995
1445,0.454283245
1446,0.455349496
1447,0.456415747
1448,0.457481997
1449,0.458548248
1450,0.459614498
1451,0.460680749
1452,0.461747
1453,0.46281325
1454,0.463879501
1455,0.464945751
1456,0.466012002
1457,0.467078253
1458,0.468144503
1459,0.469210754
1460,0.470277004
1461,0.471343255
1462,0.472409506
1463,0.473475756
1464,0.474542007
1465,0.475608257
1466,0.476674508
1467,0.477740759
1468,0.478807009
1469,0.47987326
1470,0.48093951
1471,0.482005761
1472,0.483072012
1473,0.484138262
1474,0.485204513
1475,0.486270763
1476,0.487337014
1477,0.488403265
1478,0.489469515
1479,0.490535766
1480,0.491602016
1481,0.492668267
1482,0.493734518
1483,0.494800768
1484,0.495867019
1485,0.496933269
1486,0.49799952
1487,0.499065771
1488,0.500132021
1489,0.501198272
1490,0.502264522
1491,0.503330773
1492,0.504397024
1493,0.505463274
1494,0.506529525
1495,0.507595775
1496,0.508662026
1497,0.509728277
1498,0.510794527
1499,0.511860778
1500,0.512927028
1501,0.513993279
1502,0.51505953
1503,0.51612578
1504,0.517192031
1505,0.518258281
1506,0.519324532
1507,0.520390783
1508,0.521457033
1509,0.522523284
1510,0.523589534
1511,0.524655785
1512,0.525722036
1513,0.526788286
1514,0.527854537
1515,0.528920787
1516,0.529987038
1517,0.531053289
1518,0.532119539
1519,0.53318579
1520,0.53425204
1521,0.535318291
1522,0.536384542
1523,0.537450792
1524,0.538517043
1525,0.539583293
1526,0.540649544
1527,0.541715795
1528,0.542782045
1529,0.543848296
1530,0.544914546
1531,0.545980797
1532,0.547047048
1533,0.548113298
1534,0.549179549
1535,0.550245799
1536,0.55131205
1537,0.552378301
1538,0.553444551
1539,0.554510802
1540,0.555577052
1541,0.556643303
1542,0.557709554
1543,0.558775804
1544,0.559842055
1545,0.560908305
1546,0.561974556
1547,0.563040807
1548,0.564107057
1549,0.565173308
